stock,endDate,capitalExpenditures,changeToNetincome,otherCashflowsFromFinancingActivities,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments
IVC,2019-12-31,-10874000.0,18116000.0,-1278000.0,1474000.0,6466000.0,-1645000.0,-813000.0,24490000.0,2743000.0,-32000.0,-894000.0,-36844000.0,-53327000,-5582000.0,-27941000.0,-24124000.0,-11614000.0,-3603000,,
IVC,2018-12-31,-9823000.0,-6092000.0,-1278000.0,-666000.0,-11497000.0,-1630000.0,-104000.0,15556000.0,-46423000.0,-3911000.0,-2427000.0,-59621000.0,-43922000,-18404000.0,-2924000.0,-1493000.0,-6363000.0,4505000,,
IVC,2017-12-31,-14569000.0,9498000.0,9389000.0,2395000.0,22263000.0,-1604000.0,-448000.0,14631000.0,-25774000.0,4619000.0,-1276000.0,52294000.0,-76541000,-6883000.0,88097000.0,78912000.0,-14648000.0,-2168000,,
IVC,2016-12-31,-10151000.0,1247000.0,6251000.0,10210000.0,-9944000.0,-1583000.0,-71000.0,14635000.0,-56613000.0,-1406000.0,-5331000.0,64179000.0,-42856000,-23702000.0,118549000.0,119195000.0,3649000.0,-13648000,,
CSLT,2019-12-31,-1953000.0,20080000.0,,-4581000.0,,,,5920000.0,-17392000.0,,,-22988000.0,-40002000,-13619000.0,1201000.0,-1859000.0,-6797000.0,-1200000,3060000.0,-4844000.0
CSLT,2018-12-31,-2014000.0,20250000.0,,-4883000.0,,,,6058000.0,-18551000.0,,,4686000.0,-39706000,-15968000.0,4015000.0,-465000.0,19222000.0,-3475000,4480000.0,21236000.0
CSLT,2017-12-31,-2544000.0,17800000.0,,-2799000.0,,,,5613000.0,-23457000.0,,,12778000.0,-51902000,-6241000.0,1625000.0,-465000.0,34610000.0,-1179000,2356000.0,39418000.0
CSLT,2016-12-31,-1702000.0,21737000.0,,-2278000.0,,,,2268000.0,-36971000.0,,,29716000.0,-58686000,-13524000.0,20065000.0,-465000.0,46622000.0,3935000,20187000.0,48324000.0
LPX,2019-12-31,-163000000.0,96000000.0,-9000000.0,-21000000.0,3000000.0,-65000000.0,-1000000.0,126000000.0,159000000.0,-2000000.0,-638000000.0,-697000000.0,-5000000,-1000000.0,-717000000.0,-5000000.0,-137000000.0,-4000000,,-3000000.0
LPX,2018-12-31,-214000000.0,10000000.0,-6000000.0,3000000.0,-2000000.0,-74000000.0,21000000.0,123000000.0,511000000.0,-5000000.0,-212000000.0,-49000000.0,395000000,-400000.0,-317000000.0,-25000000.0,-238000000.0,-21000000,,-45000000.0
LPX,2017-12-31,-149000000.0,16000000.0,-6000000.0,-35000000.0,-23000000.0,-74000000.0,-29000000.0,126000000.0,474000000.0,3000000.0,-5900000.0,269000000.0,390000000,-2000000.0,-9000000.0,-3000000.0,-199000000.0,23000000,,-45000000.0
LPX,2016-12-31,-124800000.0,31600000.0,-5300000.0,-8900000.0,-11000000.0,-74000000.0,409600000.0,112800000.0,342300000.0,3100000.0,-9200000.0,223500000.0,149800000,1000000.0,-407000000.0,-392500000.0,285100000.0,53800000,,-45000000.0
GDYN,2019-12-31,-2811000.0,2155000.0,,-1607000.0,,-2000000.0,,2311000.0,12534000.0,,,24327000.0,10807000,-2266000.0,14604000.0,,-2811000.0,301000,7417000.0,
GDYN,2018-12-31,-3079000.0,1190000.0,,-5009000.0,,-2000000.0,,1312000.0,10584000.0,,,7505000.0,9228000,1763000.0,14604000.0,,-3079000.0,219000,7417000.0,
GDYN,2017-12-31,-1058000.0,1150000.0,,-4035000.0,,-3034000.0,,660000.0,5540000.0,,,-233000.0,13184000,-1274000.0,-4715000.0,,-1058000.0,-92000,146000.0,
ARA,2019-12-31,-23122000.0,50596000.0,-63137000.0,-2624000.0,3659000.0,-50000.0,,38595000.0,38821000.0,,-368000.0,-20806000.0,-13790000,-30897000.0,-39315000.0,24230000.0,-20312000.0,-9543000,10000.0,
ARA,2018-12-31,-44960000.0,56831000.0,-72058000.0,13118000.0,-6799000.0,-332000.0,,39802000.0,106404000.0,,-838000.0,-16311000.0,-28767000,4577000.0,-79869000.0,-8039000.0,-42846000.0,25661000,1398000.0,
ARA,2017-12-31,-36073000.0,83200000.0,-106344000.0,17568000.0,11000.0,-8729000.0,,37634000.0,128548000.0,,-838000.0,-29294000.0,-4597000,-9593000.0,-122539000.0,-9846000.0,-35303000.0,2294000,2380000.0,
ARA,2016-12-31,-61432000.0,127178000.0,-96518000.0,-21221000.0,-385000.0,-1355000.0,,33862000.0,172206000.0,,-356000.0,9923000.0,3146000,18475000.0,-96344000.0,-144653000.0,-65939000.0,8556000,175424000.0,
MBOT,2019-12-31,-216000.0,978000.0,,,,,,84000.0,-6451000.0,,,27866000.0,-7247000,-126000.0,36770000.0,,-2453000.0,-140000,36770000.0,-2496000.0
MBOT,2018-12-31,-223000.0,1473000.0,,,,,,54000.0,-5310000.0,,,-5551000.0,-7260000,-40000.0,-18000.0,,-223000.0,463000,36770000.0,-2496000.0
MBOT,2017-12-31,-58000.0,2795000.0,,,,,,21000.0,-4856000.0,,,8105000.0,-7589000,-40000.0,13019000.0,,-58000.0,-69000,13624000.0,-2496000.0
MBOT,2016-12-31,-25000.0,8005000.0,,,,,,10000.0,-786000.0,,,2272000.0,-9663000,-40000.0,3083000.0,,-25000.0,324000,409000.0,-2496000.0
AZRX,2019-12-31,-24098.0,1825129.0,61590.0,-749859.0,,,,635812.0,-14033502.0,-25926.0,,-938547.0,-15177686,-530344.0,13144979.0,3606640.0,-24098.0,-420788,9476749.0,
AZRX,2018-12-31,-305473.0,3577653.0,61590.0,-2187903.0,,,,798446.0,-10869320.0,3537.0,,540872.0,-13533617,-265523.0,11712128.0,-190677.0,-305473.0,741624,11902805.0,
AZRX,2017-12-31,-32168.0,3425952.0,61590.0,3438.0,,,,753998.0,-7184638.0,3534.0,,-1200054.0,-11096383,-37866.0,6013218.0,1003993.0,-32168.0,-233777,5009225.0,
AZRX,2016-12-31,-12355.0,8617429.0,-1420107.0,132038.0,,,,734500.0,-4534859.0,-7223.0,,1191857.0,-14591662,-232929.0,5746294.0,1886401.0,-12355.0,805765,5280000.0,
XXII,2019-12-31,-527330.0,10788289.0,,4433.0,-207593.0,,,1425004.0,-14587364.0,,,-119814.0,-26558544,771408.0,9915617.0,-700000.0,4551933.0,-810361,10615617.0,5478448.0
XXII,2018-12-31,-448639.0,-11668358.0,,85773.0,333588.0,,,1342335.0,-17844266.0,,,-3054609.0,-7966911,-348488.0,-355387.0,-800000.0,15145044.0,377795,444613.0,16250668.0
XXII,2017-12-31,-1156906.0,715378.0,,-906074.0,-129228.0,,,946996.0,-12068383.0,,,-9808654.0,-13029117,-168492.0,62845974.0,-333334.0,-60586245.0,502154,63179308.0,-58979131.0
XXII,2016-12-31,-197229.0,1266850.0,,10238.0,-531356.0,,,842179.0,-9887580.0,,,9707891.0,-11581430,242236.0,20149241.0,-333333.0,-553770.0,-136297,20482574.0,-58979131.0
ABTX,2019-12-31,-13385000.0,855000.0,390588000.0,,,,5102000.0,7903000.0,66867000.0,,-58663000.0,77301000.0,52959000,5150000.0,243948000.0,-91389000.0,-233514000.0,0,3412000.0,-28251000.0
ABTX,2018-12-31,-3419000.0,5007000.0,157399000.0,,,,4746000.0,3947000.0,46059000.0,,-2133000.0,86844000.0,37309000,1822000.0,71940000.0,-87076000.0,-31155000.0,0,3750000.0,7416000.0
ABTX,2017-12-31,-2133000.0,16156000.0,343794000.0,,,,586000.0,2418000.0,33432000.0,,-2133000.0,40005000.0,17632000,3136000.0,384397000.0,36355000.0,-377824000.0,0,4248000.0,8644000.0
ABTX,2016-12-31,-1511000.0,3175000.0,137682000.0,,,,-15755000.0,2412000.0,27435000.0,,-2133000.0,-6333000.0,22851000,-851000.0,374726000.0,235000000.0,-408494000.0,0,2044000.0,-161942000.0
NATH,2019-03-31,-447000.0,-10519000.0,,229000.0,-151000.0,-4187000.0,,1212000.0,11156000.0,,-1174000.0,18107000.0,21493000,1729000.0,-5377000.0,,12328000.0,-3528000,134000.0,
NATH,2018-03-25,-563000.0,9755000.0,,-1588000.0,195000.0,-150000.0,,1352000.0,18862000.0,,-157000.0,424000.0,2630000,-1737000.0,-17888000.0,,-550000.0,7186000,134000.0,
NATH,2017-03-26,-1128000.0,1395000.0,,-280000.0,108000.0,-150000.0,,1297000.0,10412000.0,,-2266000.0,6687000.0,7485000,-90000.0,-2597000.0,,-1128000.0,-712000,44000.0,
NATH,2016-03-27,-1125000.0,867000.0,,740000.0,135000.0,-150000.0,,1255000.0,12480000.0,,-19516000.0,-1165000.0,6096000,2636000.0,-19634000.0,,5989000.0,-434000,89000.0,
EGBN,2019-12-31,-2839000.0,-13199000.0,250106000.0,,,-22332000.0,-12269000.0,6174000.0,132684000.0,,-54903000.0,-79891000.0,142943000,-3234000.0,424552000.0,250567000.0,-637127000.0,0,1114000.0,-55659000.0
EGBN,2018-12-31,-1482000.0,21957000.0,1120301000.0,,,-22332000.0,1818000.0,6969000.0,165455000.0,,-54903000.0,131391000.0,152276000,-15747000.0,750737000.0,-371148000.0,-784801000.0,0,1584000.0,-201744000.0
EGBN,2017-12-31,-5758000.0,64251000.0,137870000.0,,,-22332000.0,-12579000.0,6883000.0,160924000.0,,-54903000.0,-177690000.0,100232000,-10442000.0,471763000.0,332685000.0,-810377000.0,0,1208000.0,-53973000.0
EGBN,2016-12-31,-7426000.0,16549000.0,558070000.0,,,-22332000.0,-238000.0,6226000.0,116820000.0,,-54903000.0,69800000.0,97707000,1966000.0,703932000.0,144106000.0,-750952000.0,-5628000,1756000.0,-55926000.0
PUK,2019-12-31,-64000000.0,-4323000000.0,-708000000.0,,,-1634000000.0,,432000000.0,-5899000000.0,203000000.0,,-8477000000.0,783000000,-2135000000.0,-2457000000.0,-137000000.0,-324000000.0,0,22000000.0,
PUK,2018-12-31,-134000000.0,-2443000000.0,-546000000.0,,,-1662000000.0,,423000000.0,2745000000.0,-529000000.0,,981000000.0,4019000000,-541000000.0,-659000000.0,1526000000.0,-576000000.0,0,23000000.0,
PUK,2017-12-31,-134000000.0,1445000000.0,-378000000.0,,,-1159000000.0,,192000000.0,1620000000.0,-109000000.0,,625000000.0,2389000000,-2502000000.0,-1702000000.0,-186000000.0,816000000.0,0,21000000.0,
PUK,2016-12-31,-348000000.0,1356000000.0,-344000000.0,,,-1011000000.0,,242000000.0,2201000000.0,1002000000.0,,2283000000.0,1921000000,-1318000000.0,-371000000.0,1227000000.0,-549000000.0,0,13000000.0,
TSLX,2019-12-31,,-546369000.0,-7747000.0,-4336000.0,,-98060000.0,,,-378041000.0,,,3568000.0,154583000,12002000.0,381609000.0,487416000.0,,327000,,
TSLX,2018-12-31,,-18673000.0,-7789000.0,-1763000.0,,-95909000.0,,,119193000.0,,,3910000.0,119017000,15990000.0,-115283000.0,-83398000.0,,-280000,,
TSLX,2017-12-31,,-29077000.0,-3922000.0,2619000.0,,-94695000.0,,,82388000.0,,,711000.0,111609000,-6955000.0,-81677000.0,16940000.0,,346000,,
TSLX,2016-12-31,,-179623000.0,-2892000.0,478000.0,,-80291000.0,,,-41844000.0,,,-1514000.0,137007000,-2596000.0,40330000.0,46592000.0,,63000,,
LOGC,2019-12-31,-1415000.0,2640000.0,,,,,,289000.0,-38750000.0,9000.0,,-47177000.0,-40128000,-1024000.0,10069000.0,9845000.0,-18505000.0,-527000,224000.0,-17090000.0
LOGC,2018-12-31,-614000.0,1244000.0,,,,,,89000.0,-15267000.0,17000.0,,56477000.0,-17621000,986000.0,72306000.0,9845000.0,-579000.0,35000,74885000.0,-17090000.0
LOGC,2017-12-31,-36000.0,460000.0,,,,,,43000.0,-5782000.0,-38000.0,,22847000.0,-5795000,-1261000.0,28703000.0,9845000.0,-36000.0,771000,74885000.0,-17090000.0
LOGC,2016-12-31,-232000.0,493000.0,,,,,,16000.0,-2369000.0,-32000.0,,1726000.0,-3428000,210000.0,4359000.0,9845000.0,-232000.0,340000,74885000.0,-17090000.0
NUE,2019-12-31,-1477293000.0,355347000.0,-85479000.0,361340000.0,712645000.0,-492062000.0,2873000.0,769653000.0,2809413000.0,907000.0,-323588000.0,135719000.0,1271143000,-226933000.0,-880410000.0,4574000.0,-1794191000.0,-253457000,16145000.0,-278283000.0
NUE,2018-12-31,-982531000.0,186712000.0,-71529000.0,-485433000.0,-1092101000.0,-485376000.0,25348000.0,829637000.0,2393952000.0,-5924000.0,-876120000.0,449782000.0,2360767000,195055000.0,-908177000.0,500747000.0,-1030069000.0,235572000,24101000.0,-71412000.0
NUE,2017-12-31,-448555000.0,-87480000.0,-94215000.0,-329501000.0,-900946000.0,-485321000.0,7389000.0,727061000.0,1055338000.0,9003000.0,-104712000.0,-1096857000.0,1318688000,120276000.0,-1242306000.0,-565128000.0,-918892000.0,314817000,7070000.0,41000000.0
NUE,2016-12-31,-604840000.0,233956000.0,-110101000.0,-217736000.0,-132639000.0,-481083000.0,14106000.0,687054000.0,1750001000.0,8043000.0,-17560000.0,106492000.0,796271000,142752000.0,-626434000.0,-33360000.0,-1025118000.0,236788000,15670000.0,21833000.0
KSU,2019-12-31,-626200000.0,223300000.0,-11600000.0,36400000.0,500000.0,-144300000.0,-8000000.0,350700000.0,1103500000.0,,-792500000.0,48300000.0,538900000,-56800000.0,-378900000.0,562500000.0,-676300000.0,10500000,7000000.0,-36700000.0
KSU,2018-12-31,-619200000.0,103800000.0,-8000000.0,-68400000.0,-4500000.0,-147500000.0,3900000.0,346700000.0,945700000.0,,-243500000.0,-33600000.0,627400000,-41100000.0,-327400000.0,69800000.0,-651900000.0,-18200000,1800000.0,-19200000.0
KSU,2017-12-31,-628000000.0,-301000000.0,-8000000.0,-46700000.0,1400000.0,-142500000.0,-15500000.0,320900000.0,1028400000.0,,-375600000.0,-36500000.0,962000000,-68600000.0,-383800000.0,133600000.0,-681100000.0,160400000,700000.0,-20400000.0
KSU,2016-12-31,-590200000.0,56700000.0,-2600000.0,-18300000.0,-14200000.0,-142800000.0,-9000000.0,305000000.0,919000000.0,,-185400000.0,34000000.0,478100000,9900000.0,-256800000.0,73100000.0,-628200000.0,101800000,900000.0,-900000.0
BWFG,2019-12-31,-645000.0,-1615000.0,-10341000.0,,,-4079000.0,635000.0,3452000.0,6631000.0,,-988000.0,-61000.0,18216000,-13530000.0,-25378000.0,-10000000.0,18686000.0,-360000,30000.0,19149000.0
BWFG,2018-12-31,-3351000.0,3888000.0,103839000.0,,,-3759000.0,1073000.0,1824000.0,19977000.0,,-988000.0,7381000.0,17433000,-2010000.0,62016000.0,-39000000.0,-74612000.0,-745000,936000.0,-4395000.0
BWFG,2017-12-31,-1874000.0,4444000.0,109384000.0,,,-2149000.0,-6239000.0,1631000.0,20572000.0,,-988000.0,-25624000.0,13830000,2396000.0,148266000.0,39000000.0,-194462000.0,-829000,2031000.0,-9485000.0
BWFG,2016-12-31,-8401000.0,4243000.0,242434000.0,,,-1661000.0,-9438000.0,1880000.0,17372000.0,,-988000.0,7758000.0,12350000,-731000.0,282079000.0,40000000.0,-291693000.0,466000,1306000.0,-55649000.0
ITIC,2019-12-31,-1486000.0,-7112000.0,,-395000.0,,-3021833.0,3000.0,2264000.0,20916000.0,,-19000.0,7255000.0,31458000,-2241000.0,-18150000.0,,4489000.0,583000,,5671000.0
ITIC,2018-12-31,-1859000.0,-1025000.0,,-2097000.0,,-3018623.0,7000.0,2234000.0,24386000.0,,-29000.0,-1520000.0,21892000,-2200000.0,-23099000.0,,-2807000.0,216000,,-1014000.0
ITIC,2017-12-31,-2884000.0,-3080000.0,,-1505000.0,,-2546280.0,22000.0,2352000.0,19893000.0,,-246000.0,-7714000.0,25707000,-3427000.0,-7319000.0,,-20288000.0,1463000,,-17302000.0
ITIC,2016-12-31,-2457000.0,1407000.0,,-261000.0,,-1370000.0,18000.0,1521000.0,22567000.0,,-6220000.0,6138000.0,19523000,-95000.0,-7590000.0,,-8839000.0,-582000,,1833000.0
CSII,2019-06-30,-2665000.0,12178000.0,-36000.0,-4915000.0,-1453000.0,,,3446000.0,10208000.0,,-1791000.0,-42023000.0,-255000,2525000.0,2121000.0,,-54352000.0,-1318000,3948000.0,-50797000.0
CSII,2018-06-30,-1956000.0,10590000.0,14000.0,-2878000.0,292000.0,,,3934000.0,9674000.0,,-1791000.0,8348000.0,1712000,-4269000.0,3769000.0,,-5095000.0,293000,3755000.0,-2344000.0
CSII,2017-06-30,-981000.0,11848000.0,4000.0,-5809000.0,543000.0,,,4135000.0,19588000.0,,-1791000.0,47274000.0,-1792000,-1098000.0,29465000.0,,-1779000.0,11761000,8517000.0,46000.0
CSII,2016-06-30,-3818000.0,14040000.0,4000.0,7327000.0,-3474000.0,,,3917000.0,-23583000.0,,-1791000.0,-23204000.0,-56024000,11601000.0,4148000.0,,-3769000.0,-970000,4148000.0,1212000.0
BCOR,2019-12-31,-10501000.0,2596000.0,-25888000.0,871000.0,,,,41008000.0,92804000.0,38000.0,-34051000.0,1084000.0,48148000,14091000.0,77836000.0,131176000.0,-169594000.0,-17338000,6599000.0,
BCOR,2018-12-31,-7633000.0,13589000.0,-1315000.0,-4286000.0,,,,36990000.0,105548000.0,-56000.0,-8362000.0,23055000.0,50634000,-2456000.0,-74804000.0,-80000000.0,-7633000.0,9315000,14873000.0,
BCOR,2017-12-31,-5039000.0,20974000.0,-976000.0,-483000.0,,,,37044000.0,72846000.0,78000.0,-9095000.0,7443000.0,27039000,-11399000.0,-68562000.0,-100191000.0,3081000.0,-3371000,41700000.0,
BCOR,2016-12-31,-3812000.0,76995000.0,-25000000.0,-2340000.0,,,,36876000.0,100017000.0,-26000.0,-1752000.0,-4962000.0,-65158000,46713000.0,-187001000.0,-163867000.0,82048000.0,429000,3618000.0,
NBHC,2019-12-31,-11204000.0,-68255000.0,195282000.0,,,-23530000.0,-22196000.0,15038000.0,42476000.0,,,634000.0,80365000,15328000.0,71443000.0,-103097000.0,-113285000.0,0,2788000.0,220847000.0
NBHC,2018-12-31,-6277000.0,-10494000.0,-174621000.0,,,-16624000.0,-7679000.0,11522000.0,73574000.0,,,-137808000.0,61451000,11095000.0,-109365000.0,74304000.0,-102017000.0,0,7576000.0,198337000.0
NBHC,2017-12-31,-5617000.0,15359000.0,105401000.0,,,-9401000.0,-81000.0,12889000.0,58139000.0,,,104628000.0,14579000,15312000.0,225006000.0,128902000.0,-178517000.0,0,104000.0,92747000.0
NBHC,2016-12-31,-5617000.0,-27048000.0,21771000.0,,,-6400000.0,-2764000.0,14203000.0,-3936000.0,,,-13356000.0,23060000,-14151000.0,-124049000.0,-45847000.0,114629000.0,0,104000.0,361952000.0
PLT,2020-03-28,-22880000.0,670996000.0,,33499000.0,-6709000.0,-23970000.0,,220162000.0,78019000.0,-3192000.0,-9891000.0,11370000.0,-827182000,-17555000.0,-46375000.0,-25000000.0,-17082000.0,-31768000,12486000.0,1106000.0
PLT,2019-03-30,-26797000.0,12259000.0,,-10307000.0,-7182000.0,-22880000.0,,190369000.0,116047000.0,-3784000.0,-27247000.0,-188152000.0,-135561000,92340000.0,1107128000.0,1141525000.0,-1407543000.0,3658000,15730000.0,261495000.0
PLT,2018-03-31,-12468000.0,44083000.0,,-12238000.0,-13309000.0,-19996000.0,,16278000.0,121148000.0,4500000.0,-64377000.0,88691000.0,-869000,-6644000.0,-60446000.0,1141525000.0,23489000.0,2884000,23927000.0,35957000.0
PLT,2017-03-31,-23176000.0,33680000.0,,-13894000.0,-3791000.0,-19959000.0,,16577000.0,139387000.0,-2263000.0,-43972000.0,66704000.0,82599000,14646000.0,-47968000.0,1141525000.0,-22452000.0,4377000,15202000.0,724000.0
BLD,2019-12-31,-45536000.0,34690000.0,-1091000.0,-27146000.0,17433000.0,,25000.0,52700000.0,271777000.0,,-123862000.0,83878000.0,190995000,6671000.0,-137757000.0,-12804000.0,-50142000.0,-5124000,,
BLD,2018-12-31,-52504000.0,29952000.0,-8660000.0,-35522000.0,-23297000.0,,38000.0,39419000.0,167172000.0,,-70490000.0,44408000.0,134752000,-9020000.0,429055000.0,508205000.0,-551819000.0,29687000,,
BLD,2017-12-31,-25308000.0,-42231000.0,-2150000.0,-37943000.0,-14901000.0,,199000.0,16453000.0,113192000.0,,-144050000.0,-77854000.0,158133000,15344000.0,-82450000.0,63750000.0,-108596000.0,17936000,,
BLD,2016-12-31,-14156000.0,28575000.0,664000.0,-19953000.0,1370000.0,,113000.0,12011000.0,76785000.0,,-24121000.0,21527000.0,72606000,-6469000.0,-38457000.0,-15000000.0,-16801000.0,-11698000,,
EDU,2019-05-31,-269140000.0,142758000.0,4892000.0,-509000.0,6032000.0,,-15473000.0,114004000.0,805648000.0,-66123000.0,-68047000.0,431462000.0,238065000,-56061000.0,266649000.0,96457000.0,-574712000.0,334149000,233347000.0,-253443000.0
