stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
IVC,2019-12-31,-53327000.0,-53327000.0,-46109000,665897000,925880000,927964000,9302000,-29076000.0,2084000,2084000,262067000,259983000.0,-53327000,-44025000.0,,,,
IVC,2018-12-31,-43922000.0,-43922000.0,-19722000,704671000,986727000,972347000,9820000,-28336000.0,-14380000,-14380000,267676000,282056000.0,-43922000,-34102000.0,,,,
IVC,2017-12-31,-76541000.0,-76541000.0,-38763000,697246000,993984000,966497000,10291000,-22907000.0,-27487000,-27487000,269251000,296738000.0,-76541000,-66250000.0,,,,
IVC,2016-12-31,-42856000.0,-42856000.0,-9208000,763847000,1067823000,1047474000,13299000,-15875000.0,-20349000,-20349000,283627000,303976000.0,-42856000,-29557000.0,,,,
CSLT,2019-12-31,-40002000.0,-40002000.0,1336000,59074000,184646000,143308000,0,,-41338000,-41338000,84234000,66578000.0,-40002000,-40002000.0,58994000.0,,,
CSLT,2018-12-31,-39706000.0,-39706000.0,-712000,60189000,195398000,156404000,0,,-38994000,-38994000,96215000,74754000.0,-39706000,-39706000.0,60455000.0,,,
CSLT,2017-12-31,-51902000.0,-51902000.0,-1811000,46652000,187317000,132020000,-5206000,,-55297000,-55297000,85368000,86163000.0,-51902000,-57108000.0,54502000.0,,,
CSLT,2016-12-31,-58686000.0,-58686000.0,-2468000,31866000,154926000,98708000,0,,-56218000,-56218000,66842000,82600000.0,-58686000,-58686000.0,40460000.0,,,
LPX,2019-12-31,-5000000.0,-10000000.0,-96000000,2007000000,2237000000,2310000000,-13000000,-19000000.0,73000000,73000000,303000000,233000000.0,-5000000,-23000000.0,,-3000000.0,10000000.0,
LPX,2018-12-31,395000000.0,399000000.0,-14000000,2084000000,2293000000,2828000000,122000000,-16000000.0,535000000,535000000,744000000,213000000.0,395000000,521000000.0,,-4000000.0,10000000.0,
LPX,2017-12-31,390000000.0,391000000.0,-20000000,1998000000,2204000000,2734000000,119000000,-19000000.0,530000000,530000000,736000000,201000000.0,390000000,510000000.0,,5000000.0,10000000.0,
LPX,2016-12-31,149800000.0,150300000.0,-25500000,1829100000,2037800000,2233400000,19800000,-32100000.0,195600000,195600000,404300000,188100000.0,149800000,170100000.0,,17400000.0,10000000.0,
GDYN,2019-12-31,10430000.0,10807000.0,-2684000,69064000,100193000,118326000,4642000,,18133000,18133000,49262000,27163000.0,10807000,15449000.0,3966000.0,,,
